,Subset Splits,Kernel size,Batch size,Δ Naive Classifier,Accuracy,Area under ROC
24,"(0.25, 0.2)",5,24,0.09793814432989689,0.6030927835051546,0.6047573369404097
48,"(0.2, 0.2)",5,24,0.06493506493506496,0.5909090909090909,0.5782883856908315
36,"(0.2, 0.25)",5,32,0.07731958762886604,0.5824742268041238,0.5575143352541909
49,"(0.2, 0.2)",5,24,0.051948051948051965,0.5584415584415584,0.5326389827957988
39,"(0.2, 0.25)",7,32,0.05154639175257736,0.5567010309278351,0.5515722525192049
15,"(0.25, 0.2)",5,32,0.04123711340206182,0.5463917525773195,0.5463887524078509
33,"(0.2, 0.25)",5,24,0.03608247422680411,0.5412371134020618,0.5768535345154218
1,"(0.25, 0.2)",7,32,0.02617801047120416,0.5392670157068062,0.5005112668036485
4,"(0.2, 0.25)",5,48,0.020942408376963373,0.5340314136125655,0.5450343592985908
42,"(0.2, 0.2)",5,48,0.00649350649350644,0.5324675324675324,0.5293586268324038
18,"(0.25, 0.2)",5,48,0.02577319587628868,0.5309278350515464,0.5655310427476687
9,"(0.25, 0.25)",5,48,0.028806584362139898,0.5308641975308642,0.5363824487174096
45,"(0.2, 0.2)",7,48,0.0,0.525974025974026,0.4921148317267039
54,"(0.2, 0.2)",7,32,0.0,0.525974025974026,0.5190282061879896
3,"(0.2, 0.25)",5,48,0.020618556701030966,0.5257731958762887,0.5266077522766122
14,"(0.2, 0.25)",7,24,0.005291005291005235,0.5238095238095238,0.5427513098585649
46,"(0.2, 0.2)",7,48,0.012987012987012991,0.5194805194805194,0.4788995299646136
8,"(0.25, 0.25)",7,24,0.017241379310344862,0.5172413793103449,0.5248866676575504
20,"(0.25, 0.2)",5,48,-0.005291005291005346,0.5132275132275133,0.5087743888764297
19,"(0.25, 0.2)",5,48,0.0,0.5130890052356021,0.5246184671458962
6,"(0.25, 0.25)",7,24,0.008230452674897082,0.5102880658436214,0.5229666268630678
5,"(0.2, 0.25)",5,48,-0.010582010582010692,0.5079365079365079,0.5208987441130298
0,"(0.25, 0.2)",7,32,0.0,0.5051546391752577,0.5189607411842287
27,"(0.25, 0.2)",7,24,0.0,0.5051546391752577,0.530095774890526
11,"(0.25, 0.25)",5,48,0.004310344827586188,0.5043103448275862,0.5211615636147444
44,"(0.2, 0.2)",5,48,-0.02614379084967322,0.5032679738562091,0.5014146090534979
21,"(0.25, 0.25)",7,32,0.0,0.5020576131687243,0.5262008887673583
30,"(0.25, 0.25)",5,32,0.0,0.5020576131687243,0.532611986374937
55,"(0.2, 0.2)",7,32,-0.00649350649350644,0.5,0.4874252102604169
23,"(0.25, 0.25)",7,32,0.0,0.5,0.5151419441141498
51,"(0.25, 0.25)",7,48,-0.0041152263374485964,0.49794238683127573,0.47167279189101313
16,"(0.25, 0.2)",5,32,-0.015706806282722474,0.4973821989528796,0.48579822359830127
26,"(0.25, 0.2)",5,24,-0.021164021164021274,0.4973544973544973,0.518824287956941
31,"(0.25, 0.25)",5,32,-0.012658227848101278,0.4936708860759494,0.5158668399353497
2,"(0.25, 0.2)",7,32,-0.026455026455026565,0.49206349206349204,0.5088099694653855
38,"(0.2, 0.25)",5,32,-0.026455026455026565,0.49206349206349204,0.5558140838753083
50,"(0.2, 0.2)",5,24,-0.03921568627450983,0.49019607843137253,0.499528463648834
12,"(0.2, 0.25)",7,24,-0.015463917525773196,0.4896907216494845,0.5075605975808691
43,"(0.2, 0.2)",5,48,-0.01948051948051943,0.487012987012987,0.49669920057332156
25,"(0.25, 0.2)",5,24,-0.02617801047120416,0.4869109947643979,0.5032428701976943
13,"(0.2, 0.25)",7,24,-0.02617801047120416,0.4869109947643979,0.4814322584810574
29,"(0.25, 0.2)",7,24,-0.031746031746031855,0.48677248677248675,0.5262486938381197
35,"(0.2, 0.25)",5,24,-0.031746031746031855,0.48677248677248675,0.4974489795918367
52,"(0.25, 0.25)",7,48,-0.02109704641350213,0.48523206751054854,0.49980853125684854
32,"(0.25, 0.25)",5,32,-0.017241379310344807,0.4827586206896552,0.5102742271105826
41,"(0.2, 0.25)",7,32,-0.037037037037037146,0.48148148148148145,0.5160349854227405
53,"(0.25, 0.25)",7,48,-0.02155172413793105,0.47844827586206895,0.5013469827586208
47,"(0.2, 0.2)",7,48,-0.052287581699346386,0.477124183006536,0.5126671810699589
7,"(0.25, 0.25)",7,24,-0.02953586497890298,0.4767932489451477,0.46212531503396886
17,"(0.25, 0.2)",5,32,-0.04761904761904773,0.4708994708994709,0.5133718322493833
28,"(0.25, 0.2)",7,24,-0.04712041884816753,0.46596858638743455,0.477804710602767
37,"(0.2, 0.25)",5,32,-0.05235602094240838,0.4607329842931937,0.47970798674329684
10,"(0.25, 0.25)",5,48,-0.046413502109704685,0.459915611814346,0.45931288922675145
40,"(0.2, 0.25)",7,32,-0.05759162303664922,0.45549738219895286,0.4787213617635039
34,"(0.2, 0.25)",5,24,-0.05759162303664922,0.45549738219895286,0.4643898405773715
22,"(0.25, 0.25)",7,32,-0.06329113924050639,0.4430379746835443,0.4897641126086639
